,circuit_id,layer,num_params,dataset,accuracy,entcap,expr,last_cost_avg,num_iter
0,5.0,1.0,40.0,0.0,0.78125,0.3448122733462674,0.0760275280235167,0.2685546875,4.0
1,6.0,1.0,40.0,0.0,0.78125,0.7883748458204589,0.010032436333987817,0.23675537109375,4.0
2,7.0,1.0,24.0,0.0,0.78125,0.24677060168760948,0.20290694426658712,0.22161865234375,4.0
3,8.0,1.0,24.0,0.0,0.78125,0.3165241005378851,0.14832256496259158,0.3238525390625,4.0
4,11.0,1.0,16.0,0.0,0.625,0.6440034939434797,0.2411112724399453,0.2406005859375,4.0
5,12.0,1.0,16.0,0.0,0.78125,0.4347317773132375,0.223238799526661,0.25030517578125,4.0
6,13.0,1.0,10.0,0.0,0.90625,0.21296154295841654,0.30060313775507874,0.2313232421875,4.0
7,14.0,1.0,10.0,0.0,0.75,0.3449022170855981,0.14963591672195586,0.33929443359375,4.0
8,15.0,1.0,5.0,0.0,0.90625,0.6660784697788261,0.5837128379482074,0.2193603515625,4.0
9,16.0,1.0,14.0,0.0,0.78125,0.1732664824246202,0.3483971550501037,0.92437744140625,4.0
10,17.0,1.0,14.0,0.0,0.78125,0.3175646789814682,0.17640675201153963,0.3780517578125,4.0
11,18.0,1.0,15.0,0.0,0.875,0.2120592461614821,0.34308773901498457,0.20745849609375,4.0
12,19.0,1.0,15.0,0.0,0.84375,0.37837088794606444,0.12245217744597864,0.2918701171875,4.0
